id;name;address
3470da62-5c11-499d-ac5c-7c61a547caaf;Compatible Avon revolutionize;Account Mouse Web
eda91c71-c69f-4183-b83f-c5f40f844f92;transmit Global transitional;grey deposit deposit
fdce3305-c8b9-4096-929c-4b70d680c3fc;methodical Bike dot-com;deposit connect
5ddae837-361a-4416-ad2d-2f42739fb1aa;Fish;bluetooth payment Profound
598768ae-03f4-42c8-ba60-0accc3ef80c7;synergize Market;Fundamental
d8c9daee-c7c3-41df-a096-17f309a0926e;engineer;Forks
29b26f39-66d9-44be-b54c-1caea106f91b;parse one-to-one;Camp Chips
eada9f47-bbe8-4f6f-8e7f-f916d209822f;RSS;Clothing
985544af-cc0a-43ff-9cf9-44a96902cc25;Dirham Wooden paradigm;infrastructures FTP
6a6a0717-8362-4232-a615-86c34d3bbc69;encompassing;withdrawal FTP parsing
